"customer_id","rental_id","payment_date","rental_count"
148,15237,"2007-03-22 16:12:56.996577","46"
148,12512,"2007-03-18 11:56:53.996577","46"
148,7865,"2007-04-28 08:35:30.996577","46"
148,9530,"2007-04-30 23:37:32.996577","46"
148,5034,"2007-04-09 01:16:41.996577","46"
148,15541,"2007-03-23 02:42:19.996577","46"
148,12038,"2007-03-17 18:56:52.996577","46"
148,12029,"2007-03-17 18:35:27.996577","46"
148,4080,"2007-04-07 03:38:20.996577","46"
148,14629,"2007-03-21 17:08:18.996577","46"
148,10067,"2007-04-30 18:06:24.996577","46"
148,15586,"2007-03-23 04:25:30.996577","46"
148,12944,"2007-03-19 04:16:38.996577","46"
148,12983,"2007-03-19 05:35:17.996577","46"
148,2751,"2007-02-19 15:07:49.996577","46"
148,9594,"2007-04-30 01:52:18.996577","46"
148,6793,"2007-04-12 15:06:21.996577","46"
148,8394,"2007-04-29 04:30:40.996577","46"
148,8626,"2007-04-29 12:31:46.996577","46"
148,4746,"2007-04-08 12:16:21.996577","46"
148,9106,"2007-04-30 07:21:00.996577","46"
148,11357,"2007-03-02 16:11:15.996577","46"
148,8578,"2007-04-29 10:26:40.996577","46"
148,1501,"2007-02-15 20:31:01.996577","46"
148,14184,"2007-03-21 01:53:16.996577","46"
148,2847,"2007-02-19 21:22:27.996577","46"
148,14055,"2007-03-20 20:46:26.996577","46"
148,14965,"2007-03-22 05:14:19.996577","46"
148,7693,"2007-04-28 01:59:48.996577","46"
148,8331,"2007-04-29 02:41:55.996577","46"
148,14155,"2007-03-21 01:00:01.996577","46"
148,15379,"2007-03-22 20:54:39.996577","46"
148,3653,"2007-04-06 06:13:39.996577","46"
148,2843,"2007-02-19 21:05:05.996577","46"
148,9023,"2007-04-30 04:05:06.996577","46"
148,5372,"2007-04-09 17:17:05.996577","46"
148,8111,"2007-04-28 17:38:29.996577","46"
148,6640,"2007-04-12 08:55:45.996577","46"
148,14713,"2007-03-21 19:55:50.996577","46"
148,1517,"2007-02-15 21:48:52.996577","46"
148,14879,"2007-03-22 02:10:38.996577","46"
148,7656,"2007-04-28 00:35:45.996577","46"
148,6169,"2007-04-11 08:54:22.996577","46"
148,10830,"2007-03-01 21:46:32.996577","46"
148,4950,"2007-04-08 21:26:33.996577","46"
526,12607,"2007-03-18 15:32:15.996577","45"
526,8441,"2007-04-29 06:01:31.996577","45"
526,13580,"2007-03-20 03:52:00.996577","45"
526,4423,"2007-04-07 20:39:54.996577","45"
526,1981,"2007-02-17 08:32:00.996577","45"
526,2398,"2007-02-18 14:25:19.996577","45"
526,2828,"2007-02-19 19:19:59.996577","45"
526,15395,"2007-03-22 21:34:51.996577","45"
526,11612,"2007-03-17 02:17:17.996577","45"
526,6316,"2007-04-11 17:13:18.996577","45"
526,5056,"2007-04-09 02:42:11.996577","45"
526,13617,"2007-03-20 05:03:56.996577","45"
526,7343,"2007-04-27 12:55:39.996577","45"
526,6671,"2007-04-12 10:17:14.996577","45"
526,1255,"2007-02-15 04:42:11.996577","45"
526,6404,"2007-04-11 21:18:16.996577","45"
526,7543,"2007-04-27 20:12:54.996577","45"
526,5121,"2007-04-09 05:46:57.996577","45"
526,10020,"2007-04-30 16:49:34.996577","45"
526,6650,"2007-04-12 09:25:36.996577","45"
526,7399,"2007-04-27 14:44:28.996577","45"
526,7270,"2007-04-27 09:57:28.996577","45"
526,16043,"2007-03-23 20:49:29.996577","45"
526,1865,"2007-02-17 00:18:02.996577","45"
526,15168,"2007-03-22 13:42:46.996577","45"
526,9577,"2007-04-30 01:21:59.996577","45"
526,2932,"2007-02-20 03:19:45.996577","45"
526,3619,"2007-04-06 04:28:10.996577","45"
526,1848,"2007-02-16 22:35:33.996577","45"
526,3339,"2007-02-21 09:05:37.996577","45"
526,1972,"2007-02-17 07:54:15.996577","45"
526,11503,"2007-03-16 21:39:00.996577","45"
526,14590,"2007-03-21 15:57:36.996577","45"
526,10199,"2007-04-30 23:07:21.996577","45"
526,8232,"2007-04-28 22:43:03.996577","45"
526,7883,"2007-04-28 09:05:46.996577","45"
526,14487,"2007-03-21 12:21:59.996577","45"
526,8053,"2007-04-28 15:28:07.996577","45"
526,11046,"2007-03-02 04:37:00.996577","45"
526,13224,"2007-03-19 14:20:39.996577","45"
526,3905,"2007-04-06 18:02:00.996577","45"
526,11702,"2007-03-17 05:47:22.996577","45"
144,7858,"2007-04-28 08:18:44.996577","42"
236,7047,"2007-04-27 01:59:37.996577","42"
144,3019,"2007-02-20 09:40:18.996577","42"
144,14159,"2007-03-21 01:14:24.996577","42"
144,13881,"2007-03-20 13:47:21.996577","42"
144,9714,"2007-04-30 06:43:58.996577","42"
144,4818,"2007-04-08 15:46:48.996577","42"
236,11895,"2007-03-17 13:43:33.996577","42"
144,9174,"2007-04-30 10:10:36.996577","42"
236,10137,"2007-04-30 20:30:07.996577","42"
144,12858,"2007-03-19 00:50:42.996577","42"
144,5408,"2007-04-09 18:45:17.996577","42"
144,9034,"2007-04-30 04:39:24.996577","42"
144,11534,"2007-03-16 23:03:53.996577","42"
144,11228,"2007-03-02 11:23:49.996577","42"
236,6996,"2007-04-26 23:42:11.996577","42"
144,11859,"2007-03-17 12:19:46.996577","42"
236,12988,"2007-05-14 13:44:29.996577","42"
144,12733,"2007-03-18 20:27:26.996577","42"
236,4959,"2007-04-08 21:50:49.996577","42"
144,10740,"2007-03-01 18:18:58.996577","42"
144,12087,"2007-03-17 20:48:38.996577","42"
144,6791,"2007-04-12 15:03:33.996577","42"
236,5938,"2007-04-10 20:46:08.996577","42"
144,2756,"2007-02-19 15:26:08.996577","42"
236,14364,"2007-03-21 07:53:37.996577","42"
144,10951,"2007-03-02 01:55:01.996577","42"
144,5049,"2007-04-09 02:22:38.996577","42"
236,5545,"2007-04-10 01:18:55.996577","42"
236,9934,"2007-04-30 13:53:52.996577","42"
236,6303,"2007-04-11 16:24:09.996577","42"
144,8459,"2007-04-29 06:34:06.996577","42"
236,8657,"2007-04-29 13:37:51.996577","42"
236,13364,"2007-03-19 19:37:56.996577","42"
144,15017,"2007-03-22 07:16:10.996577","42"
144,15753,"2007-03-23 11:11:56.996577","42"
144,1814,"2007-02-16 19:43:48.996577","42"
144,3145,"2007-02-20 18:49:43.996577","42"
236,11507,"2007-03-16 21:55:09.996577","42"
236,11139,"2007-03-02 07:56:02.996577","42"
236,9011,"2007-04-30 03:44:55.996577","42"
236,3460,"2007-02-21 20:15:22.996577","42"
236,2311,"2007-02-18 07:19:55.996577","42"
236,12975,"2007-03-19 05:19:45.996577","42"
144,1943,"2007-02-17 06:17:43.996577","42"
144,12980,"2007-03-19 05:31:40.996577","42"
236,7792,"2007-04-28 05:52:28.996577","42"
144,7378,"2007-04-27 13:59:59.996577","42"
236,5404,"2007-04-09 18:39:09.996577","42"
236,14321,"2007-03-21 06:33:38.996577","42"
236,4749,"2007-04-08 12:34:24.996577","42"
236,11486,"2007-03-02 21:02:32.996577","42"
236,2139,"2007-02-17 19:58:00.996577","42"
144,5374,"2007-04-09 17:20:34.996577","42"
236,7253,"2007-04-27 09:15:03.996577","42"
144,9098,"2007-04-30 07:12:47.996577","42"
236,3857,"2007-04-06 15:36:20.996577","42"
236,1308,"2007-02-15 08:36:14.996577","42"
236,2630,"2007-02-19 07:15:47.996577","42"
236,6049,"2007-04-11 02:00:58.996577","42"
144,6614,"2007-04-12 07:02:15.996577","42"
144,5526,"2007-04-10 00:32:29.996577","42"
236,7780,"2007-04-28 05:40:21.996577","42"
236,6281,"2007-04-11 15:06:42.996577","42"
236,3353,"2007-02-21 09:57:49.996577","42"
144,3321,"2007-02-21 07:01:52.996577","42"
144,10593,"2007-03-01 12:41:45.996577","42"
236,7798,"2007-04-28 06:10:25.996577","42"
144,11476,"2007-03-02 20:32:13.996577","42"
236,1262,"2007-02-15 05:23:19.996577","42"
144,10302,"2007-03-01 02:40:34.996577","42"
236,14722,"2007-03-21 20:19:19.996577","42"
236,13443,"2007-03-19 22:22:08.996577","42"
236,3645,"2007-04-06 05:50:35.996577","42"
144,7830,"2007-04-28 07:12:15.996577","42"
236,2840,"2007-02-19 20:46:10.996577","42"
144,4726,"2007-04-08 11:19:20.996577","42"
144,8983,"2007-04-30 02:59:34.996577","42"
144,7566,"2007-04-27 21:03:11.996577","42"
75,9442,"2007-04-30 20:12:57.996577","41"
75,12336,"2007-03-18 05:28:07.996577","41"
75,6486,"2007-04-12 00:38:02.996577","41"
75,11330,"2007-03-02 15:13:59.996577","41"
75,12002,"2007-03-17 17:24:28.996577","41"
75,15928,"2007-03-23 16:51:50.996577","41"
75,12662,"2007-03-18 17:39:07.996577","41"
